MASTER ITEM NUMBER,PRODUCTS NAME,ITEM NUMBER,ITEM NAME,FABRIC STYLE,FABRIC CODE,FABRIC STYLE/COLOR,CLEANING ADVISORY ONLY ,LEGS ,CU.FT,LBS,BOXES,SHIPPING LEAD TIME,EXW COST,FREE DELIVERED COST,MAP,MSRP,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,BED SIZE,SEAT HEIGHT,MATTRESS COMFORT  ,Assembly Required? (YES/NO),SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS 
95-740021216-2-19-6,"ZEAL SOFA, ALUMINUM",740021216-2,"ZEAL SOFA SEAT, INCL. CUSHION COVER",FLASHTEX GREY,216,FLASHTEX DARK GREY,Dry cleaning,Aluminum,11.58,70.86,2,6-10 DAYS ,$520,$575,"$1,095","$1,295","84""","32""","7.5""","28""X79""","15""","7"" W/POCKET SPRINGS",YES,"80 3/4""","30""","6 3/4""",72.6,"44 3/4""","9 3/4""","9 3/4""",13.86,,,,,,,,,,,,,,,,,,,,,,,,
95-740021525-2-19-6,"ZEAL SOFA, ALUMINUM",740021525-2,"ZEAL SOFA SEAT, INCL. CUSHION COVER",MIXED DANCE LIGHT BLUE,525,MIXED DANCE LIGHT BLUE,Dry cleaning,Aluminum,11.58,70.86,2,6-10 DAYS ,$520,$575,"$1,095","$1,295","84""","32""","7.5""","28""X79""","15""","7"" W/POCKET SPRINGS",YES,"80 3/4""","30""","6 3/4""",72.6,"44 3/4""","9 3/4""","9 3/4""",13.86,,,,,,,,,,,,,,,,,,,,,,,,
95-740021554-2-19-6,"ZEAL SOFA, ALUMINUM",740021554-2,"ZEAL SOFA SEAT, INCL. CUSHION COVER",SOFT MUSTARD FLOWER,554,SOFT MUSTARD FLOWER,Dry cleaning,Aluminum,11.58,70.86,2,6-10 DAYS ,$520,$575,"$1,095","$1,295","84""","32""","7.5""","28""X79""","15""","7"" W/POCKET SPRINGS",YES,"80 3/4""","30""","6 3/4""",72.6,"44 3/4""","9 3/4""","9 3/4""",13.86,,,,,,,,,,,,,,,,,,,,,,,,
95-740021XXX-2-19-6,"ZEAL SOFA, ALUMINUM",740021XXX-2,"ZEAL SOFA SEAT, INCL. CUSHION COVER",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Aluminum,11.58,70.86,2,Approx 12-14 WEEKS ,$600,$665,"$1,265","$1,520","84""","32""","7.5""","28""X79""","15""","7"" W/POCKET SPRINGS",YES,"80 3/4""","30""","6 3/4""",72.6,"44 3/4""","9 3/4""","9 3/4""",13.86,,,,,,,,,,,,,,,,,,,,,,,,
,,772001507-10-3-2,"UNFURL SOFA 55""X79"" , DARK WOOD LEGS",ELEGANCE BURNED CURRY,507,ELEGANCE BURNED CURRY,Dry cleaning,Dark Wood,17.22,114.4,1,6-10 DAYS ,$675,$750,"$1,495","$1,725","84""","47,5""","7,5""","43""X79""","15""","7"" W/POCKET SPRINGS",YES,"80 3/4""","48 1/2""","7 1/2""",114.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`,,772001521-10-3-2,"UNFURL SOFA 55""X79"" , DARK WOOD LEGS",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Dark Wood,17.22,114.4,1,6-10 DAYS ,$675,$750,"$1,495","$1,725","84""","47,5""","7,5""","43""X79""","15""","7"" W/POCKET SPRINGS",YES,"80 3/4""","48 1/2""","7 1/2""",114.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`,,772001534-10-3-2,"UNFURL SOFA 55""X79"" , DARK WOOD LEGS",BOUCLE BLACK RAVEN,534,BOUCLE BLACK RAVEN,Dry cleaning,Dark Wood,17.22,114.4,1,6-10 DAYS ,$675,$750,"$1,495","$1,725","84""","47,5""","7,5""","43""X79""","15""","7"" W/POCKET SPRINGS",YES,"80 3/4""","48 1/2""","7 1/2""",114.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,772001XXX-10-3-2,"UNFURL SOFA 55""X79"" , DARK WOOD LEGS",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark Wood,17.22,114.4,1,Approx 12-14 WEEKS ,$775,$865,"$1,720","$1,985","84""","47,5""","7,5""","43""X79""","15""","7"" W/POCKET SPRINGS",YES,"80 3/4""","48 1/2""","7 1/2""",114.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95-7720125595-10-3-2,"UNFURL LOUNGER SOFA, DARK WOOD",772012595-10-3-2,"UNFURL SOFA 55""X79"" , DARK WOOD LEGS",CORDUROY BURNT ORANGE,595,CORDUROY BURNT ORANGE,Dry cleaning,Dark Wood,27.52,139.92,2,6-10 DAYS ,$830,$920,"$1,995","$2,095","81.5""","59""","7.5""","55""x79""","15""","7"" W/POCKET SPRINGS",YES,"81 1/2""","58 3/4""","7 1/2""",125.4,"40 1/2""","18 1/2""","15 1/2""",14.52,,,,,,,,,,,,,,,,,,,,,,,,
95-772012XXX-10-3-2,"UNFURL LOUNGER SOFA, DARK WOOD",772012XXX-10-3-2,"UNFURL SOFA 55""X79"" , DARK WOOD LEGS",DIY,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark Wood,27.52,139.92,2,Approx 12-14 WEEKS ,$955,"$1,060","$2,295","$2,395","81.5""","59""","7.5""","55""x79""","15""","7"" W/POCKET SPRINGS",YES,"81 1/2""","58 3/4""","7 1/2""",125.4,"40 1/2""","18 1/2""","15 1/2""",14.52,,,,,,,,,,,,,,,,,,,,,,,,
95-543115586-2,"YONATA SOFA, BLACK METAL LEGS",543115586-01,"YONATA SOFA SEAT, 57""X79""",PHOBOS LATTE,586,PHOBOS LATTE,Machine washable on low heat,Black metal,39.1993,192.5,2,6-10 DAYS,"$1,350","$1,500","$2,995","$3,450","82""","34""","14""","55""x79""","15""","10""  W/POCKET SPRINGS",YES,"82""","34""","14""",81.4,"81""","32""","11 1/2""",111.1,,,,,,,,,,,,,,,,,,,,,,,,
95-543115XXX-2,"YONATA SOFA, BLACK METAL LEGS",543115XXX-01,"YONATA SOFA SEAT, 57""X79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Machine washable on low heat,Black metal,39.1993,192.5,2,6-10 DAYS,"$1,550","$1,725","$3,445","$3,970","82""","34""","14""","55""x79""","15""","10""  W/POCKET SPRINGS",YES,"82""","34""","14""",81.4,"81""","32""","11 1/2""",111.1,,,,,,,,,,,,,,,,,,,,,,,,
,,543115BXXX,YONATA DETACH SOFA/CUSHION COVERS,D.I.Y,DIY,"""DESIGN IT YOURSELF""",Machine washable on low heat,,0.94,9.9,1,Approx 12-14 WEEKS ,$310,$340,$645,$780,"21""","19""","4""",,,,YES,"21""","19""","4""",9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95-543125020579-2,"MALLOY SOFA, BLACK STEEL",543125579-01,"MALLOY SEAT/CUSHION COVERS, 59""X79""",KENYA GRAVEL,579,KENYA GRAVEL,Dry cleaning,Black Metal,53.5229,250.89,4,6-10 DAYS,"$1,600","$1,780","$3,495","$4,095","82 1/4""","35 3/4""","19""","59""x79""","16""",POCKET SPRING DUAL,YES,"82 1/4""","35 3/4""","19""",142.34,"80 3/4""","40 1/4""","9 1/2""",85.8,"45""","32 1/2""","10 1/2""",39.38,"87 1/2""","9""","4 1/2""",25.52,,,,,,,,,,,,,,,,
95-543125020590-2,"MALLOY SOFA, BLACK STEEL",543125590-01,"MALLOY SEAT/CUSHION COVERS, 59""X79""",MICRO CHECK,590,MICRO CHECK,Dry cleaning,Black Metal,53.5229,250.89,4,6-10 DAYS,"$1,600","$1,780","$3,495","$1,095","82 1/4""","35 3/4""","19""","59""x79""","16""",POCKET SPRING DUAL,YES,"82 1/4""","35 3/4""","19""",142.34,"80 3/4""","40 1/4""","9 1/2""",85.8,"45""","32 1/2""","10 1/2""",39.38,"87 1/2""","9""","4 1/2""",25.52,,,,,,,,,,,,,,,,
95-543125020XXX-2,"MALLOY SOFA, BLACK STEEL",543125XXX-01,"MALLOY SEAT/CUSHION COVERS, 59""X79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Black Metal,53.5229,250.89,4,Approx 12-14 WEEKS ,"$1,840","$2,145","$4,020","$4,695","82 1/4""","35 3/4""","19""","59""x79""","16""",POCKET SPRING DUAL,YES,"82 1/4""","35 3/4""","19""",142.34,"80 3/4""","40 1/4""","9 1/2""",85.8,"45""","32 1/2""","10 1/2""",39.38,"87 1/2""","9""","4 1/2""",25.52,,,,,,,,,,,,,,,,
,,543126579-2,MALLOY OTTOMAN,KENYA GRAVEL,579,MELANGE LIGHT GREY,Dry cleaning,Black Metal,10.3825,44,1,6-10 DAYS,$355,$395,$795,$950,"41""","37""","9 1/2""","30""x39""","16""",POCKET SPRING DUAL,YES,"31""","30.7""","18.5""",52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,543126590-2,MALLOY OTTOMAN,MICRO CHECK,590,MICRO CHECK,Dry cleaning,Black Metal,10.3825,44,1,6-10 DAYS,$355,$395,$795,$950,"41""","37""","9 1/2""","30""x39""","16""",POCKET SPRING DUAL,YES,"31""","30.7""","18.5""",52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,543126XXX-2,MALLOY OTTOMAN,D.I.Y,,"""DESIGN IT YOURSELF""",Dry cleaning,Black Metal,10.3825,44,1,Approx 12-14 WEEKS ,$385,$455,$895,"$1,090","41""","37""","9 1/2""","30""x39""","16""",POCKET SPRING DUAL,YES,"31""","30.7""","18.5""",52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95-722081317-18-7-2,"CONLIX SOFA, SMOKED OAK LEGS",722081108-2,"CONLIX SOFA, BLACK LEGS",WHITE COTTON,,WHITE COTTON,,Smoked Oak,23.0464,148.06,2,6-10 DAYS,$900,"$1,000","$1,925","$2,295","80 3/4""","33 3/4""","13 3/4""","55""x79""","15 1/2""",POCKET SPRING,YES,"80 3/4""","33 3/4""","13 3/4""",137.94,"24 1/2""","20 1/2""","4 1/2""",10.12,,,,,,,,,,,,,,,,,,,,,,,,
95-722081318-18-7-2,"CONLIX SOFA, SMOKED OAK LEGS",722081108-2,"CONLIX SOFA, BLACK LEGS",WHITE COTTON,,WHITE COTTON,,Smoked Oak,23.0464,148.06,2,6-10 DAYS,$900,"$1,000","$1,925","$2,295","80 3/4""","33 3/4""","13 3/4""","55""x79""","15 1/2""",POCKET SPRING,YES,"80 3/4""","33 3/4""","13 3/4""",137.94,"24 1/2""","20 1/2""","4 1/2""",10.12,,,,,,,,,,,,,,,,,,,,,,,,
95-722081580-18-7-2,"CONLIX SOFA, SMOKED OAK LEGS",722081108-2,"CONLIX SOFA, BLACK LEGS",WHITE COTTON,,WHITE COTTON,,Smoked Oak,23.0464,148.06,2,6-10 DAYS,$900,"$1,000","$1,925","$2,295","80 3/4""","33 3/4""","13 3/4""","55""x79""","15 1/2""",POCKET SPRING,YES,"80 3/4""","33 3/4""","13 3/4""",137.94,"24 1/2""","20 1/2""","4 1/2""",10.12,,,,,,,,,,,,,,,,,,,,,,,,
95-722081583-18-7-2,"CONLIX SOFA, SMOKED OAK LEGS",722081108-2,"CONLIX SOFA, BLACK LEGS",WHITE COTTON,,WHITE COTTON,,Smoked Oak,23.0464,148.06,2,6-10 DAYS,$900,"$1,000","$1,925","$2,295","80 3/4""","33 3/4""","13 3/4""","55""x79""","15 1/2""",POCKET SPRING,YES,"80 3/4""","33 3/4""","13 3/4""",137.94,"24 1/2""","20 1/2""","4 1/2""",10.12,,,,,,,,,,,,,,,,,,,,,,,,
95-722081585-18-7-2,"CONLIX SOFA, SMOKED OAK LEGS",722081108-2,"CONLIX SOFA, BLACK LEGS",WHITE COTTON,,WHITE COTTON,,Smoked Oak,23.0464,148.06,2,6-10 DAYS,$900,"$1,000","$1,925","$2,295","80 3/4""","33 3/4""","13 3/4""","55""x79""","15 1/2""",POCKET SPRING,YES,"80 3/4""","33 3/4""","13 3/4""",137.94,"24 1/2""","20 1/2""","4 1/2""",10.12,,,,,,,,,,,,,,,,,,,,,,,,
95-722081XXX-18-7-2,"CONLIX SOFA, SMOKED OAK LEGS",722081108-2,"CONLIX SOFA, BLACK LEGS",WHITE COTTON,,WHITE COTTON,,Smoked Oak,23.0464,148.06,2,Approx 12-14 WEEKS ,"$1,035","$1,150","$2,195","$2,650","80 3/4""","33 3/4""","13 3/4""","55""x79""","15 1/2""",POCKET SPRING,YES,"80 3/4""","33 3/4""","13 3/4""",137.94,"24 1/2""","20 1/2""","4 1/2""",10.12,,,,,,,,,,,,,,,,,,,,,,,,
,,722081BXXX,CONLIX DETACHABLE SOFA & CUSHION COVERS,D.I.Y,,"""DESIGN IT YOURSELF""",Machine washable on low heat,,1.2537,10.12,1,Approx 12-14 WEEKS ,$310,$340,$649,$785,"24 1/2""","20 1/2""","4 1/2""",,,,YES,"24 1/2""","20 1/2""","4 1/2""",10.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"RECAST PLUS SOFA, DARK WOOD LEGS",742050506-10-3-2,"RECAST PLUS SOFA, DARK WOOD LEGS 55"" X 79""",ELEGANCE PAPRIKA,506,ELEGANCE PAPRIKA,Dry cleaning,Dark wood ,21.79,141.68,1,6-10 DAYS ,$805,$895,"$1,795","$2,055","80.7""","30.7""","21""","55""X79""","15""","6""  W/POCKET SPRINGS",YES,"81""","34 1/4""","14 1/4""",141.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"RECAST PLUS SOFA, DARK WOOD LEGS",742050515-10-3-2,"RECAST PLUS SOFA, DARK WOOD LEGS 55"" X 79""",NIST BLUE ,515,NIST BLUE ,Dry cleaning,Dark wood ,21.79,141.68,1,6-10 DAYS ,$805,$895,"$1,795","$2,055","80.7""","30.7""","21""","55""X79""","15""","6""  W/POCKET SPRINGS",YES,"81""","34 1/4""","14 1/4""",141.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"RECAST PLUS SOFA, DARK WOOD LEGS",742050538-10-3-2,"RECAST PLUS SOFA, DARK WOOD LEGS 55"" X 79""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,Dark wood ,21.79,141.68,1,6-10 DAYS ,$805,$895,"$1,795","$2,055","80.7""","30.7""","21""","55""X79""","15""","6""  W/POCKET SPRINGS",YES,"81""","34 1/4""","14 1/4""",141.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"RECAST PLUS SOFA, DARK WOOD LEGS",742050XXX-10-3-2,"RECAST PLUS SOFA, DARK WOOD LEGS 55"" X 79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark wood ,21.79,141.68,1,Approx 12-14 WEEKS ,$925,"$1,030","$2,075","$2,365","80.7""","30.7""","21""","55""X79""","15""","6""  W/POCKET SPRINGS",YES,"81""","34 1/4""","14 1/4""",141.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95-742050506-WOOD,RECAST PLUS SOFA W/WALNUT ARMS,742050506-10-3-2,"RECAST PLUS SOFA, DARK WOOD LEGS 55"" X 79""",ELEGANCE PAPRIKA,506,ELEGANCE PAPRIKA,Dry cleaning,Dark wood ,23.89,155.76,2,6-10 DAYS ,$970,"$1,080","$2,245","$2,485","80.7""","30.7""","21""","55""X79""","15""","6""  W/POCKET SPRINGS",YES,"81""","34 1/4""","14 1/4""",141.68,"25""","19""","7.5""",14.08,,,,,,,,,,,,,,,,,,,,,,,,
95-742050515-WOOD,RECAST PLUS SOFA W/WALNUT ARMS,742050515-10-3-2,"RECAST PLUS SOFA, DARK WOOD LEGS 55"" X 79""",NIST BLUE ,515,NIST BLUE ,Dry cleaning,Dark wood ,23.89,155.76,2,6-10 DAYS ,$970,"$1,080","$2,245","$2,485","80.7""","30.7""","21""","55""X79""","15""","6""  W/POCKET SPRINGS",YES,"81""","34 1/4""","14 1/4""",141.68,"25""","19""","7.5""",14.08,,,,,,,,,,,,,,,,,,,,,,,,
95-742050538-WOOD,RECAST PLUS SOFA W/WALNUT ARMS,742050538-10-3-2,"RECAST PLUS SOFA, DARK WOOD LEGS 55"" X 79""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,Dark wood ,23.89,155.76,2,6-10 DAYS ,$970,"$1,080","$2,245","$2,485","80.7""","30.7""","21""","55""X79""","15""","6""  W/POCKET SPRINGS",YES,"81""","34 1/4""","14 1/4""",141.68,"25""","19""","7.5""",14.08,,,,,,,,,,,,,,,,,,,,,,,,
95-742050XXX-WOOD,RECAST PLUS SOFA W/WALNUT ARMS,742050XXX-10-3-2,"RECAST PLUS SOFA, DARK WOOD LEGS 55"" X 79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark wood ,23.89,155.76,2,Approx 12-14 WEEKS ,"$1,115","$1,240","$2,595","$2,855","80.7""","30.7""","21""","55""X79""","15""","6""  W/POCKET SPRINGS",YES,"81""","34 1/4""","14 1/4""",141.68,"25""","19""","7.5""",14.08,,,,,,,,,,,,,,,,,,,,,,,,
,FRODE SOFA,742048531-10-3-2,"FRODE SOFA, DARK WOOD LEGS, 55""X79""",BOUCLE OFF WHITE,531,BOUCLE OFF WHITE,Dry cleaning,Dark wood ,29.60,159.5,1,6-10 DAYS ,$990,"$1,100","$1,995","$2,530","80.7""","34.3""","18.5""","55""x79""","18""","6""  W/POCKET SPRINGS",YES,"80 3/4""","34 1/4""","18 1/2""",159.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRODE SOFA,742048565-10-3-2,"FRODE SOFA, DARK WOOD LEGS, 55""X79""",TWIST GRANITE,565,TWIST GRANITE,Dry cleaning,Dark wood ,29.60,159.5,1,6-10 DAYS ,$990,"$1,100","$1,995","$2,530","80.7""","34.3""","18.5""","55""x79""","18""","6""  W/POCKET SPRINGS",YES,"80 3/4""","34 1/4""","18 1/2""",159.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRODE SOFA,742048XXX-10-3-2,"FRODE SOFA, DARK WOOD LEGS, 55""X79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark wood ,29.60,159.5,1,Approx 12-14 WEEKS ,"$1,135","$1,265","$2,295","$2,895","80.7""","34.3""","18.5""","55""x79""","18""","6""  W/POCKET SPRINGS",YES,"80 3/4""","34 1/4""","18 1/2""",159.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95-742048531-10-3-2,FRODE SOFA W/UPHOLSTERED ARMS,742048531-10-3-2,"FRODE SOFA, DARK WOOD LEGS, 55""X79""",BOUCLE OFF WHITE,531,BOUCLE OFF WHITE,Dry cleaning,Dark wood ,34.79,191.4,2,6-10 DAYS ,"$1,215","$1,350","$2,495","$3,095","80.7""","34.3""","18.5""","55""x79""","18""","6""  W/POCKET SPRINGS",YES,80 3/4,"34 1/4""",18 1/2,159.5,37 1/2,17 1/4,13 1/2,31.9,,,,,,,,,,,,,,,,,,,,,,,,
95-742048565-10-3-2,FRODE SOFA W/UPHOLSTERED ARMS,742048565-10-3-2,"FRODE SOFA, DARK WOOD LEGS, 55""X79""",TWIST GRANITE,565,TWIST GRANITE,Dry cleaning,Dark wood ,34.79,191.4,2,6-10 DAYS ,"$1,215","$1,350","$2,495","$3,095","80.7""","34.3""","18.5""","55""x79""","18""","6""  W/POCKET SPRINGS",YES,80 3/4,"34 1/4""",18 1/2,159.5,37 1/2,17 1/4,13 1/2,31.9,,,,,,,,,,,,,,,,,,,,,,,,
95-742048XXX-10-3-2,FRODE SOFA W/UPHOLSTERED ARMS,742048XXX-10-3-2,"FRODE SOFA, DARK WOOD LEGS, 55""X79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark wood ,34.79,191.4,2,Approx 12-14 WEEKS ,"$1,395","$1,550","$2,875","$3,570","80.7""","34.3""","18.5""","55""x79""","18""","6""  W/POCKET SPRINGS",YES,80 3/4,"34 1/4""",18 1/2,159.5,37 1/2,17 1/4,13 1/2,31.9,,,,,,,,,,,,,,,,,,,,,,,,
95-742048020531-WOOD,FRODE SOFA W/WOOD ARMS,742048531-10-3-2,"FRODE SOFA, DARK WOOD LEGS, 55""X79""",BOUCLE OFF WHITE,531,BOUCLE OFF WHITE,Dry cleaning,Dark wood ,34.79,191.4,2,6-10 DAYS ,"$1,215","$1,350","$2,495","$3,095","80.7""","34.3""","18.5""","55""x79""","18""","6""  W/POCKET SPRINGS",YES,80 3/4,"34 1/4""",18 1/2,159.5,"25""","19""","7.5""",14.08,,,,,,,,,,,,,,,,,,,,,,,,
95-742048020565-WOOD,FRODE SOFA W/WOOD ARMS,742048565-10-3-2,"FRODE SOFA, DARK WOOD LEGS, 55""X79""",TWIST GRANITE,565,TWIST GRANITE,Dry cleaning,Dark wood ,34.79,191.4,2,6-10 DAYS ,"$1,215","$1,350","$2,495","$3,095","80.7""","34.3""","18.5""","55""x79""","18""","6""  W/POCKET SPRINGS",YES,80 3/4,"34 1/4""",18 1/2,159.5,"25""","19""","7.5""",14.08,,,,,,,,,,,,,,,,,,,,,,,,
95-742048020XXX-WOOD,FRODE SOFA W/WOOD ARMS,742048XXX-10-3-2,"FRODE SOFA, DARK WOOD LEGS, 55""X79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark wood ,34.79,191.4,2,Approx 12-14 WEEKS ,"$1,395","$1,550","$2,875","$3,570","80.7""","34.3""","18.5""","55""x79""","18""","6""  W/POCKET SPRINGS",YES,80 3/4,"34 1/4""",18 1/2,159.5,"25""","19""","7.5""",14.08,,,,,,,,,,,,,,,,,,,,,,,,
95-543091538-2,"OSVALD SOFA, FULL",543091538-01-2,"LIFTER SOFA SEAT, CUSHION & BOTTOM FRAME, 55""X79""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,Black steel,41.2,211.86,2,6-10 DAYS ,"$1,350","$1,500","$2,995","$3,450","81""","34.5""","18""","59""X79""","17""","7"" W/POCKET SPRINGS",YES,"81""","34 1/2""","17 3/4""",147.84,"81""","28""","9 1/2""",64.02,,,,,,,,,,,,,,,,,,,,,,,,
95-543091579-2,"OSVALD SOFA, FULL",543091579-01-2,"LIFTER SOFA SEAT, CUSHION & BOTTOM FRAME, 55""X79""",KENYA GRAVEL,579,KENYA GRAVEL,Dry cleaning,Black steel,41.2,211.86,2,6-10 DAYS ,"$1,350","$1,500","$2,995","$3,450","81""","34.5""","18""","59""X79""","17""","7"" W/POCKET SPRINGS",YES,"81""","34 1/2""","17 3/4""",147.84,"81""","28""","9 1/2""",64.02,,,,,,,,,,,,,,,,,,,,,,,,
95-543091XXX-2,"OSVALD SOFA, FULL",543091XXX-01-2,"LIFTER SOFA SEAT, CUSHION & BOTTOM FRAME, 55""X79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Black steel,41.2,211.86,2,Approx 12-14 WEEKS ,"$1,550","$1,725","$3,445","$3,445","81""","34.5""","18""","59""X79""","17""","7"" W/POCKET SPRINGS",YES,"81""","34 1/2""","17 3/4""",147.84,"81""","28""","9 1/2""",64.02,,,,,,,,,,,,,,,,,,,,,,,,
95-543091020538-01-2,"TRIPI SOFA W/ARMS, FULL",543091538-01-2,"LIFTER SOFA SEAT, CUSHION & BOTTOM FRAME, 55""X79""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,,47.69,255.86,3,6-10 DAYS,"$1,530","$1,700","$3,295","$3,895","81""","34.5""","18""","59""X79""","17""","7"" W/POCKET SPRINGS",YES,"81""","34 1/2""","17 3/4""",147.84,"81""","28""","9 1/2""",64.02,"40.5""","26.3""","10.2""",57.2,,,,,,,,,,,,,,,,,,,,
95-543091020579-01-2,"TRIPI SOFA W/ARMS, FULL",543091579-01-2,"LIFTER SOFA SEAT, CUSHION & BOTTOM FRAME, 55""X79""",KENYA GRAVEL,579,KENYA GRAVEL,Dry cleaning,,47.69,255.86,3,6-10 DAYS,"$1,530","$1,700","$3,295","$3,895","81""","34.5""","18""","59""X79""","17""","7"" W/POCKET SPRINGS",YES,"81""","34 1/2""","17 3/4""",147.84,"81""","28""","9 1/2""",64.02,"40.5""","26.3""","10.2""",57.2,,,,,,,,,,,,,,,,,,,,
95-543091020XXX-01-2,"TRIPI SOFA W/ARMS, FULL",543085XXX-01-2,"LIFTER SOFA SEAT, CUSHION & BOTTOM FRAME, 55""X79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,,47.69,255.86,3,Approx 12-14 WEEKS ,"$1,760","$1,955","$3,795","$3,795","81""","34.5""","18""","59""X79""","17""","7"" W/POCKET SPRINGS",YES,"81""","34 1/2""","17 3/4""",147.84,"81""","28""","9 1/2""",64.02,"40.5""","26.3""","10.2""",57.2,,,,,,,,,,,,,,,,,,,,
,,543062538,"CORNILA OTTOMAN, 30""X30""X17""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,,10.23,52.8,1,6-10 DAYS,$375,$420,$865,$865,"31""","30.7""","18.5""",,"17""",,NO,"31""","30 1/2""","18.5""",52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,543062579,"CORNILA OTTOMAN, 30""X30""X17""",KENYA GRAVEL,579,KENYA GRAVEL,Dry cleaning,,10.23,52.8,1,6-10 DAYS,$375,$420,$865,$865,"31""","30.7""","18.5""",,"17""",,NO,"31""","30 1/2""","18 1/2""",52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,543062XXX,"CORNILA OTTOMAN, 30""X30""X17""",DIY,DIY,"""DESIGN IT YOURSELF""",,,10.23,52.8,1,Approx 12-14 WEEKS ,$430,$485,$995,$995,"31""","30.7""","18.5""",,"17""",,NO,"31""","30 1/2""","18 1/2""",52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95-748082020527-7-2,"CALUMA QUILT SOFA BED, SMOKED OAK",7480820013527,"DELUXE SOFA SEAT, 55'X91""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Smoked Oak,29.07,192.28,4,6-10 DAYS ,"$1,325","$1,470","$2,795","$2,795","80""","31.8""","21""","55""X79""","16""","7"" W/POCKET SPRINGS",YES,"80""","31 3/4""","7 3/4""",68.2,"80""","25 1/2""","12 1/2""",70.84,"81 1/2""","5 1/2""","4""",29.04,"38 1/2""","25 1/2""","5 1/2""",24.2,,,,,,,,,,,,,,,,
