MASTER ITEM NUMBER,PRODUCTS NAME,ITEM NUMBER,ITEM NAME,FABRIC STYLE,FABRIC CODE,FABRIC STYLE/COLOR,CLEANING ADVISORY ONLY ,LEGS ,CU.FT,LBS,BOXES,SHIPPING LEAD TIME,EXW COST,FREE DELIVERED COST,MAP,MSRP,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,BED SIZE,SEAT HEIGHT,MATTRESS COMFORT  ,Assembly Required? (YES/NO),SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS 
95-74105020506-8-2,"DUBLEXO SOFA STAINLESS, W/ARMS",741050506,"DUBLEXO SOFA SEAT, 45""X83""",ELEGANCE PAPRIKA,506,ELEGANCE PAPRIKA,Dry cleaning,Stainless Steel,26.38,178.44,3,6-10 DAYS ,"$1,055","$1,170","$2,395","$2,695","84""","47""","17.3""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"35 3/4""","13 3/4""","16 1/4""",38.61,"90 1/2""","7 3/4""","2 1/4""",32.03,,,,,,,,,,,,,,,,,,,,
95-74105020521-8-2,"DUBLEXO SOFA STAINLESS, W/ARMS",741050521,"DUBLEXO SOFA SEAT, 45""X83""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Stainless Steel,26.38,178.44,3,6-10 DAYS ,"$1,055","$1,170","$2,395","$2,695","84""","47""","17.3""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"35 3/4""","13 3/4""","16 1/4""",38.61,"90 1/2""","7 3/4""","2 1/4""",32.03,,,,,,,,,,,,,,,,,,,,
95-74105020527-8-2,"DUBLEXO SOFA STAINLESS, W/ARMS",741050527,"DUBLEXO SOFA SEAT, 45""X83""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Stainless Steel,26.38,178.44,3,6-10 DAYS ,"$1,055","$1,170","$2,395","$2,695","84""","47""","17.3""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"35 3/4""","13 3/4""","16 1/4""",38.61,"90 1/2""","7 3/4""","2 1/4""",32.03,,,,,,,,,,,,,,,,,,,,
95-74105020XXX-8-2,"DUBLEXO SOFA STAINLESS, W/ARMS",7410500XXX,"DUBLEXO SOFA SEAT, 45""X83""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Stainless Steel,26.38,178.44,3,Approx 12-14 WEEKS ,"$1,215","$1,345","$2,750","$3,095","84""","47""","17.3""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"35 3/4""","13 3/4""","16 1/4""",38.61,"90 1/2""","7 3/4""","2 1/4""",32.03,,,,,,,,,,,,,,,,,,,,
95-74105027506-7-2,"DUBLEXO FREJ SOFA, SMOKED OAK ",741050506,"DUBLEXO SOFA SEAT, 45""X83""",ELEGANCE PAPRIKA,506,ELEGANCE PAPRIKA,Dry cleaning,Smoked Oak,25.18,160.45,3,6-10 DAYS ,"$1,055","$1,170","$2,395","$2,695","84""","47""","17.3""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"85""","5""","3 1/4""",25.96,"41 3/4""","24 3/4""","6 1/4""",26.69,,,,,,,,,,,,,,,,,,,,
95-74105027521-7-2,"DUBLEXO FREJ SOFA, SMOKED OAK ",741050521,"DUBLEXO SOFA SEAT, 45""X83""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Smoked Oak,25.18,160.45,3,6-10 DAYS ,"$1,055","$1,170","$2,395","$2,695","84""","47""","17.3""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"85""","5""","3 1/4""",25.96,"41 3/4""","24 3/4""","6 1/4""",26.69,,,,,,,,,,,,,,,,,,,,
95-74105027527-7-2,"DUBLEXO FREJ SOFA, SMOKED OAK ",741050527,"DUBLEXO SOFA SEAT, 45""X83""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Smoked Oak,25.18,160.45,3,6-10 DAYS ,"$1,055","$1,170","$2,395","$2,695","84""","47""","17.3""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"85""","5""","3 1/4""",25.96,"41 3/4""","24 3/4""","6 1/4""",26.69,,,,,,,,,,,,,,,,,,,,
95-74105027XXX-7-2,"DUBLEXO FREJ SOFA, SMOKED OAK ",741050XXX,"DUBLEXO SOFA SEAT, 45""X83""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Smoked Oak,25.18,160.45,3,Approx 12-14 WEEKS ,"$1,215","$1,345","$2,750","$3,095","84""","47""","17.3""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"85""","5""","3 1/4""",25.96,"41 3/4""","24 3/4""","6 1/4""",26.69,,,,,,,,,,,,,,,,,,,,
95-74105126506-7-2,"DUBLEXO FREJ CHAIR, SMOKED OAK ",741051506,"DUBLEXO CHAIR SEAT, 45""X35""",ELEGANCE PAPRIKA,506,ELEGANCE PAPRIKA,Dry cleaning,Smoked Oak,13.36,86.51,3,6-10 DAYS ,$655,$730,"$1,495","$1,680","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"38 1/4""","4 3/4""","2 3/4""",12.3,"41 3/4""","24 3/4""","6 1/4""",26.69,,,,,,,,,,,,,,,,,,,,
95-74105126521-7-2,"DUBLEXO FREJ CHAIR, SMOKED OAK ",741051521,"DUBLEXO CHAIR SEAT, 45""X35""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Smoked Oak,13.36,86.51,3,6-10 DAYS ,$655,$730,"$1,495","$1,680","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"38 1/4""","4 3/4""","2 3/4""",12.3,"41 3/4""","24 3/4""","6 1/4""",26.69,,,,,,,,,,,,,,,,,,,,
